source,model,storage,lock_status,price,condition,url,timestamp
ebay,iphone 13,128GB,unlocked,374.99,Brand New,https://www.ebay.com/itm/305578481142?_skw=iPhone+13&hash=item4725e595f6:g:amIAAOSwEyZmTNl2:sc:ShippingMethodStandard!46256!US!-1&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cX1nolYI1W7lMbTjCKDmOn2uHzraTycousZ2VXBtyKuymM578G9r5LBemUyqfuYHCn26F%2F5cs0xBA2FtkUo8H23nNcSNbwXU%2FQfJqZytvmMrNtC39AjqqtFdyC5TyYDde62sK21F5tHgzr%2Bcb6PPavQGLCY%2FiBH5uiwBXfrf%2FMi9Qt%2FKYDymvukHSiJQWcHdxZIkTV4O6ynllCn2YcyE7E0zNUWFvf089fH6W%2FlxzoUSQytEXthegMPlDbKQVeRsmoT6bIeiGwvUD047vln9jT%7Ctkp%3ABk9SR8qi1tjqZQ,2025-06-09 12:34:09.345619
ebay,iphone 13,128GB,unknown,194.95,Good - Refurbished,https://www.ebay.com/itm/127060017547?_skw=iPhone+13&epid=7065012663&hash=item1d955e018b:g:WfMAAOSwiZxoANEq&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1diBj5Wxu2HUbryc%2BdYDFxH%2BhUH%2B%2FLR%2FYyWZTrf539o5vzAKaZjA82LtMe9VWp%2FFMCk8H5Ne%2Bu6XcLL6F%2BqHFrqMKcX9dEyD7akBpDqrBsXg4PtDOhBe4cc0G4gmXhRHqoAeelW%2FizMuL%2F323cyPvu2hy%2FFy%2FDQBktdBJAbNvYbmJ4UxM%2FsgXBc2VhEjFj6889ozgp9R7lQSiQcobkqfBe1BfRwyNqL2wSpV3DrCfVXHA%3D%3D%7Ctkp%3ABk9SR8yi1tjqZQ,2025-06-09 12:34:09.347084
ebay,iphone 13 pro,128GB,unlocked,380.01,Good - Refurbished,https://www.ebay.com/itm/354954083469?_skw=iPhone+13&epid=26049290840&hash=item52a4e97c8d:g:YVsAAOSw69hkyZy9&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fi9NmT0zmEBzXewk5fWHRKA9%2F0zh3LzgDpogTWYiwY3xYga4Rc2N8aIM0rl4j84GtZjBcdPDd2Unixze1V4SywmWbEEr6%2ByS5vazgHxexPxdIJ2oSCv%2FaeLR5uSzDZ679tQXDJtjsh65wjw0lFWuwDFNfVjBZkrByZWgT7cfoXakUORQoCN64ke%2FdXjXwH%2BS5Q%2BTxjgdQMKzuzUb0eEjoEO%2BTWRLpMksAhe0OlO6nZYA%3D%3D%7Ctkp%3ABlBMUM6i1tjqZQ,2025-06-09 12:34:09.348117
ebay,iphone 13,128GB,unlocked,269.99,Very Good - Refurbished,https://www.ebay.com/itm/186649931979?_skw=iPhone+13&epid=11049276145&hash=item2b7533f0cb:g:5uUAAOSwA3lmyNCB&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cTWJkH%2FbS18mqdRXn5iqNnq6ezEBSb2DIFg6bdePKnxfiQ%2Bi2MVFMCimgwroeitHtPE6M4ZhZBZjIcZm%2FFWhygpfC%2BQFpiExHP75Zz1ypJd%2BLfOhhCJYA5rdusqyVWRmyf2frpfYcKZZASsuX9Y%2Fth%2BVqg5zTuYcdqlG9E2PiZz2QmL2uKWRP14TJH7kR7UBwvweQtTUXXTD3S4AKm8d17g%2FnJS%2Fr9yIvFH%2B2RTNyg7H8Lc81oC1PMs%2BXqQ9KMt9E81AMYZr1qU6gZ4po%2FBThR%7Ctkp%3ABk9SR9Ci1tjqZQ,2025-06-09 12:34:09.349115
ebay,iphone 13 pro,128GB,unlocked,367.99,Very Good - Refurbished,https://www.ebay.com/itm/225880167639?_skw=iPhone+13&epid=26049290840&hash=item349781d4d7:g:d0gAAOSwHZhlW73q&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1feEpI8KgoSTb6XyFYIuBzZHbgry8wJyZcioOKBrtJ5KpU9EEi4ljrd%2B5lApu7SsYqzd26ZpUnlIY%2FVzPnhRc56b9UH%2B%2BnZ4oTYSKOuikOEVWtRLGt9GpmBhK92qGQFtWfERMSM95UEYDvU9lrTeIi02v1CVvuMS%2F%2B4sFS9pjJ15xjzAd5YH34%2Bh0dP75GX5RQrCC4QiQlvoVW13cnVKC64cHUNStV60ikIZNf3xTwR6o%2FRD0pOehBSPYFXVg9XXQNFkt0womg7Qe%2FpAzlx1LDB%7Ctkp%3ABk9SR9Ki1tjqZQ,2025-06-09 12:34:09.350116
ebay,iphone 13,128GB,unlocked,339.95,Open Box,https://www.ebay.com/itm/267228848312?_skw=iPhone+13&epid=11049276145&hash=item3e3814a0b8:g:VZ4AAOSwE4pnyLvz&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fQh91ruxjRMjKVuw9LH46Lh6Ql8LAi5vX8was64yDhbrttspFtr8JTkqjggXhSNh9icxFrUSmoCJw7REgDI%2B7buAcJvc%2FtUhIpw452hWvrZVrpSgDLOBv6qw7qUJhSCkC3%2Bk%2Ffo1dOJfB%2FOKCuICksLcbAqi%2B00FLr69l0LmhrQivDqvWwD0gfrStM2Li8xS04ArxyHKd2el4tn76xdFwOiyy7OzMKm6Pf6a5pzxj8BeHIjR2OpSk2vBPLwSKN9ltYAKyFACiUlLp17vhlCsk3%7Ctkp%3ABk9SR9Ki1tjqZQ,2025-06-09 12:34:09.351119
ebay,iphone 13,256GB,unlocked,317.99,Very Good - Refurbished,https://www.ebay.com/itm/356467470788?_skw=iPhone+13&epid=19049287637&hash=item52ff1df1c4:g:fDkAAOSwmNNnhp0I&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e%2F2zTJZJBvb%2BFsP%2Bo4ZHVM5jm5aEeS%2F%2BnTKK%2BxEeeeu0aptPQHXci0JuqBIoKZQ0wwrDaEZEXWyifNBlXjOSQzABVkDY06IpUEHuV4elvZDxm3SlkSUaUK30toF5PCH1bUUIojyF49B6Q7tHoN5nqNrFC8CuXx83xVQB%2Bcfk4l%2BdkSgBiZ3K37gDnzxMKvPvB%2B1C2kdRtKUYoipVELhNf72GURM9GLOxZyOzBCafNU5g%3D%3D%7Ctkp%3ABk9SR9Si1tjqZQ,2025-06-09 12:34:09.351119
ebay,iphone 13 mini,256GB,unlocked,329.0,Excellent - Refurbished,https://www.ebay.com/itm/365327388991?_skw=iPhone+13&epid=27049276496&hash=item550f35913f:g:NZEAAOSwcUFkSqcI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dhn4Kt5uBJU0EV4Cfa6AG4M4dtO8ztCYVg7XHkDqku3MmwdkHfXt97VLAB0z4h2lelLgN%2BmUWnE9xTG51itibx%2BghxXbLEIrsf5%2BnSreCI6GPVhiLh2zkLXEnCXmGwxxSF7JVQTWANUOWUeCAgoOZL%2BeRSvnydpnwPFlYdIHzG9BoxZl1bW2ENJveEnmoxmtbLiq%2F7qM5ldm2e2tQEJzi17lJlPSpxHzZ%2FXhGtSDkftaH34hcYzdC497KisikCTCxJFjJa4dSu%2F2X4mO9cmOp9%7Ctkp%3ABk9SR9ai1tjqZQ,2025-06-09 12:34:09.352168
ebay,iphone 13,128GB,unlocked,320.0,Pre-Owned,https://www.ebay.com/itm/376323749865?_skw=iPhone+13&epid=22049282568&hash=item579ea4b7e9:g:F3MAAeSwYqFoLK0u&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dOoFoQRezz93vr7%2B2XVG1PGCW2VKQbY5fRh6bZ8CFeE3xKc8J%2FLEPsVW1cio0fwl%2BVpyaoivpO4vUZpgXsVRHctRhKkQEUhEEC%2FIeaTPD5UQ4LBwRniV1cfRgOtIsSehXSYbTAQtM%2Bg%2F35UrgtHQLiXWmCJApMlp9EjtsmP44NWJhavOR0UKh9IXWZeWv0QohgfyXM53banLdIk1cNm%2FP6fv0eWiG5le1Ib3J1E2l0n59IsZ8vtRwrXYiiFJyBnQg9acLgGvgV1LcF%2BBF%2FhvS0%7Ctkp%3ABk9SR9ai1tjqZQ,2025-06-09 12:34:09.352168
ebay,iphone 13,128GB,unlocked,411.75,Brand New,https://www.ebay.com/itm/256788383197?_skw=iPhone+13&epid=11049276145&hash=item3bc9c7c5dd:g:1Y8AAOSwMTNnjRn5&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fmRQliJyNt3pQxDwPYqg7m0EizpJcnLMChcBQo2RyOCsS6J9mWKeWSKjiM7cRkXi2WiZ1lzG9aBlTtJAwVRSTbmTKDkxkwqYx2ZLDdurBdyVoXsVMdued%2FCe1TJzDhPDS8l6uUhrPb6GlEZl1l4KyXLMDorJeeZaXFwJa2u%2FXmEfyJbzbqJl--eHYr3lt7bh%2ByHvuYizdAYjZPhB1MxeFVaXizcnzpudt9OKEtPz7dPcW8naoMU5kcv3lm2ooSrrIrEPjmfjOFrLEhdgpEoit5%7Ctkp%3ABk9SR9ii1tjqZQ,2025-06-09 12:34:09.353162
